,time,open,high,low,close,volume
0,1589500800000,203.29000000,204.08000000,202.62000000,202.98000000,7663.04388000
1,1589501700000,203.04000000,203.10000000,201.93000000,202.10000000,10013.43211000
2,1589502600000,202.05000000,203.15000000,201.98000000,202.57000000,4400.91125000
3,1589503500000,202.50000000,202.96000000,202.36000000,202.71000000,2879.45578000
4,1589504400000,202.71000000,202.79000000,202.33000000,202.75000000,5012.08427000
5,1589505300000,202.80000000,203.03000000,202.55000000,202.58000000,6795.15290000
6,1589506200000,202.58000000,202.59000000,201.86000000,202.32000000,5649.55150000
7,1589507100000,202.32000000,202.50000000,201.55000000,201.67000000,4096.69214000
8,1589508000000,201.67000000,201.83000000,199.92000000,200.91000000,25445.67041000
9,1589508900000,200.88000000,200.90000000,199.26000000,200.26000000,13347.01964000
10,1589509800000,200.22000000,200.22000000,197.21000000,199.32000000,39043.68004000
11,1589510700000,199.30000000,199.74000000,198.53000000,199.45000000,9229.00837000
12,1589511600000,199.44000000,200.65000000,198.78000000,200.48000000,13665.66505000
13,1589512500000,200.48000000,200.89000000,199.77000000,199.88000000,21840.03321000
14,1589513400000,199.81000000,200.27000000,199.46000000,200.25000000,8790.25870000
15,1589514300000,200.26000000,200.37000000,199.41000000,199.41000000,7498.73905000
16,1589515200000,199.42000000,199.68000000,198.77000000,199.38000000,7294.79096000
17,1589516100000,199.37000000,199.88000000,199.05000000,199.42000000,3602.30767000
18,1589517000000,199.37000000,200.10000000,199.29000000,199.75000000,3367.78656000
19,1589517900000,199.75000000,200.00000000,198.57000000,198.82000000,4635.93951000
20,1589518800000,198.83000000,199.37000000,198.42000000,198.71000000,5505.38221000
21,1589519700000,198.71000000,199.26000000,198.43000000,199.13000000,6892.42153000
22,1589520600000,199.13000000,199.71000000,198.87000000,199.12000000,5291.80861000
23,1589521500000,199.13000000,199.90000000,199.09000000,199.75000000,9419.11015000
24,1589522400000,199.75000000,200.50000000,199.65000000,200.30000000,10973.97076000
25,1589523300000,200.30000000,201.62000000,199.86000000,201.40000000,31671.28558000
26,1589524200000,201.44000000,201.47000000,200.60000000,200.70000000,4793.00238000
27,1589525100000,200.66000000,200.70000000,200.24000000,200.62000000,3273.41623000
28,1589526000000,200.62000000,201.15000000,200.36000000,200.92000000,6265.31405000
