,0,1,2,3,4,5,6,7,8,9
BCH,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
BRG,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
PMGT,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
SERO,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
DMG,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
BLOC,ZEE(nan),CWS(nan),BOLT(nan),LAYER(nan),EOSC(nan),LINK(nan),KLV(nan),MSWAP(nan),SYLO(nan),RFUEL(nan)
LINK,SDT(0.986),SAND(0.985),PMGT(0.983),VAI(0.981),FRM(0.975),1INCH(0.974),USDJ(0.972),ONE(0.972),AVA(0.971),AVAX(0.97)
ATOM,SAND(0.993),VAI(0.992),FRM(0.99),1INCH(0.99),AVA(0.989),VELO(0.989),CUDOS(0.988),LINK(0.986),UBX(0.986),COMB(0.986)
ALGO,AVA(0.995),1INCH(0.995),COMB(0.993),SDT(0.993),AVAX(0.991),ONE(0.991),GAS(0.99),FRM(0.99),VAI(0.988),ACE(0.988)
BTC,LINK(0.983),STND(0.979),ONE(0.969),SAND(0.967),SDT(0.966),VRA(0.965),PLU(0.964),NIM(0.964),VAI(0.963),GAS(0.957)
WAVES,SDT(0.992),UBX(0.991),ONE(0.991),COMB(0.989),SWINGBY(0.989),1INCH(0.989),OMG(0.989),SAND(0.988),VELO(0.988),FTM(0.987)
ONE,1INCH(0.992),API3(0.991),CUDOS(0.99),SAND(0.99),GAS(0.99),SDT(0.99),YFI(0.987),SUKU(0.986),UBX(0.985),AVA(0.984)
